"Index","id.site","observation","sub.transect","id.sub.transect","butterfly.name","cf","butterfly.no","activity","nectar.plant"
3,"M_HAI","April","N1","M_HAI_N1","Aglais io",FALSE,1,"si",NA
5,"M_HLI","April","A1","M_HLI_A1","Aglais io",FALSE,1,"f",NA
12,"M_HLI","April","N2","M_HLI_N2","Aglais io",FALSE,2,"f",NA
14,"M_HLI","April","Zusatz","M_HLI_Zusatz","Aglais io",FALSE,1,"f",NA
18,"M_KAL","April","Zusatz","M_KAL_Zusatz","Aglais io",FALSE,1,"f",NA
26,"M_KOT","April","N2","M_KOT_N2","Aglais io",FALSE,1,"f",NA
33,"M_KOT","April","Zusatz","M_KOT_Zusatz","Aglais io",FALSE,1,"f",NA
36,"M_KUH","April","A2","M_KUH_A2","Aglais io",FALSE,1,"f",NA
39,"M_KUH","April","N1","M_KUH_N1","Aglais io",FALSE,1,"f",NA
53,"M_SSB","April","Zusatz","M_SSB_Zusatz","Aglais io",FALSE,1,"f",NA
78,"M_WUP","April","A2","M_WUP_A2","Aglais io",FALSE,1,"f",NA
79,"M_WUP","April","A4","M_WUP_A4","Aglais io",FALSE,1,"f",NA
80,"M_WUP","April","N2","M_WUP_N2","Aglais io",FALSE,1,"f",NA
83,"M_WUR","April","Zusatz","M_WUR_Zusatz","Aglais io",FALSE,1,NA,NA
92,"M_HLI","Mai","A1","M_HLI_A1","Aglais io",FALSE,1,"si",NA
95,"M_HLI","Mai","N2","M_HLI_N2","Aglais io",FALSE,1,"f",NA
239,"M_WUM","Mai","A1","M_WUM_A1","Aglais io",FALSE,1,"si",NA
240,"M_WUM","Mai","A2","M_WUM_A2","Aglais io",FALSE,1,"f",NA
288,"M_HLI","Juni","A1","M_HLI_A1","Aglais io",FALSE,1,"f",NA
304,"M_HLI","Juni","A3","M_HLI_A3","Aglais io",FALSE,1,"f",NA
325,"M_HLI","Juni","N2","M_HLI_N2","Aglais io",FALSE,2,"f",NA
356,"M_KAL","Juni","Zusatz","M_KAL_Zusatz","Aglais io",FALSE,1,"f",NA
402,"M_KUH","Juni","N1","M_KUH_N1","Aglais io",FALSE,1,"f",NA
494,"M_TTO","Juni","N2","M_TTO_N2","Aglais io",FALSE,1,"f",NA
499,"M_TTP","Juni","A1","M_TTP_A1","Aglais io",FALSE,1,"f",NA
515,"M_TTP","Juni","A3","M_TTP_A3","Aglais io",FALSE,2,"f",NA
520,"M_TTP","Juni","A4","M_TTP_A4","Aglais io",FALSE,1,"f",NA
535,"M_TTP","Juni","N2","M_TTP_N2","Aglais io",FALSE,2,"f",NA
545,"M_WIM","Juni","A1","M_WIM_A1","Aglais io",FALSE,3,"si",NA
560,"M_WIM","Juni","A2","M_WIM_A2","Aglais io",FALSE,2,"f",NA
570,"M_WIM","Juni","A4","M_WIM_A4","Aglais io",FALSE,1,"f",NA
576,"M_WIM","Juni","N1","M_WIM_N1","Aglais io",FALSE,1,NA,NA
896,"M_WIM","Juli","A1","M_WIM_A1","Aglais io",FALSE,1,"f",NA
908,"M_WIM","Juli","A4","M_WIM_A4","Aglais io",FALSE,1,"f",NA
959,"M_WUR","Juli","A1","M_WUR_A1","Aglais io",FALSE,1,"f",NA
1284,"M_BAD","April","A2","M_BAD_A2","Aglais io",FALSE,1,"f",NA
1302,"M_DOB","April","A2","M_DOB_A2","Aglais io",FALSE,1,"f",NA
1314,"M_DOR","April","N2","M_DOR_N2","Aglais io",FALSE,1,"f",NA
1317,"M_GRO","April","A2","M_GRO_A2","Aglais io",FALSE,1,"f",NA
1324,"M_GRO","April","Zusatz","M_GRO_Zusatz","Aglais io",FALSE,1,NA,NA
1339,"M_NEL","April","N2","M_NEL_N2","Aglais io",FALSE,1,"f",NA
1344,"M_NEL","April","Zusatz","M_NEL_Zusatz","Aglais io",FALSE,1,NA,NA
1350,"M_BUH","April","Zusatz","M_BUH_Zusatz","Aglais io",FALSE,1,NA,NA
1362,"M_WDG","April","Zusatz","M_WDG_Zusatz","Aglais io",FALSE,2,NA,NA
1385,"M_BEN","Mai","Zusatz","M_BEN_Zusatz","Aglais io",FALSE,1,NA,NA
1397,"M_DOR","Mai","A1","M_DOR_A1","Aglais io",FALSE,1,"f",NA
1413,"M_ALT","Juni","N1","M_ALT_N1","Aglais io",FALSE,1,"f",NA
1420,"M_BEN","Juni","A2","M_BEN_A2","Aglais io",FALSE,1,"sa","Achillea millefolium"
