"butterfly.name","rang","family","subfamily.SegererHausmann2011","genus","rl.ger","larval.feeding.type","habitat.preference","disp","target.species"
"Aglais","GEN","Nymphalidae","Nymphalinae","Aglais","NA","f",NA,NA,0
"Aglais io","SPE","Nymphalidae","Nymphalinae","Aglais","*","f","U (M1)","6",0
"Aglais urticae","SPE","Nymphalidae","Nymphalinae","Aglais","*","f","U (M1)","6",0
"Anthocharis","GEN","Nymphalidae","Nymphalinae","Aglais","NA","f",NA,NA,0
"Anthocharis cardamines","SPE","Pieridae","Pierinae","Anthocharis","*","f","M2","4",1
"Apatura","GEN","Nymphalidae","Apaturinae","Apatura","NA","w",NA,NA,0
"Apatura ilia","SPE","Nymphalidae","Apaturinae","Apatura","V","w","M3","4",0
"Apatura iris","SPE","Nymphalidae","Apaturinae","Apatura","V","w","M3","3",0
"Apaturinae","SF","Nymphalidae","Apaturinae",NA,"NA","w",NA,NA,0
"Aphantopus","GEN","Nymphalidae","Satyrinae","Aphantopus","NA","g",NA,NA,0
"Aphantopus hyperantus","SPE","Nymphalidae","Satyrinae","Aphantopus","*","g","M1","3",0
"Aporia","GEN","Pieridae","Pierinae","Aporia","NA","w",NA,NA,0
"Aporia crataegi","SPE","Pieridae","Pierinae","Aporia","*","w","M2","5",0
"Araschnia","GEN","Nymphalidae","Nymphalinae","Araschnia","NA","f",NA,NA,0
"Araschnia levana","SPE","Nymphalidae","Nymphalinae","Araschnia","*","f","M3","5",0
"Arethusana","GEN","Nymphalidae","Satyrinae","Arethusana","NA","g",NA,NA,0
"Arethusana arethusa","SPE","Nymphalidae","Satyrinae","Arethusana","0","g","X2","3",0
"Argynnis","GEN","Nymphalidae","Heliconiinae","Argynnis","NA","f",NA,NA,0
"Argynnis adippe","SPE","Nymphalidae","Heliconiinae","Argynnis","3","f","M2","4",1
"Argynnis aglaja","SPE","Nymphalidae","Heliconiinae","Argynnis","V","f","M2","3",1
"Argynnis laodice","SPE","Nymphalidae","Heliconiinae","Argynnis","1","f","T",NA,0
"Argynnis niobe","SPE","Nymphalidae","Heliconiinae","Argynnis","2","f","M2","3",1
"Argynnis paphia","SPE","Nymphalidae","Heliconiinae","Argynnis","*","f","M3","4",0
"Aricia","GEN","Lycaenidae","Polyommatinae","Aricia","NA","f",NA,NA,0
"Aricia agestis","SPE","Lycaenidae","Polyommatinae","Aricia","*","f","X1","4",1
"Aricia agestis/artaxerxes-Komplex","AGG","Lycaenidae","Polyommatinae","Aricia","*/G","f",NA,NA,0
"Aricia artaxerxes","SPE","Lycaenidae","Polyommatinae","Aricia","G","f","X1",NA,0
"Aricia eumedon","SPE","Lycaenidae","Polyommatinae","Aricia","3","f","H/X2","3",1
"Boloria","GEN","Nymphalidae","Heliconiinae","Boloria","NA","f",NA,NA,0
"Boloria aquilonaris","SPE","Nymphalidae","Heliconiinae","Boloria","2","f","T","3",0
"Boloria dia","SPE","Nymphalidae","Heliconiinae","Boloria","*","f","X2/M3","5",1
"Boloria eunomia","SPE","Nymphalidae","Heliconiinae","Boloria","2","f","H","1",1
"Boloria euphrosyne","SPE","Nymphalidae","Heliconiinae","Boloria","2","f","M2","3",1
"Boloria selene","SPE","Nymphalidae","Heliconiinae","Boloria","V","f","H","3",1
"Boloria thore","SPE","Nymphalidae","Heliconiinae","Boloria","G",NA,NA,NA,NA
