"id.site","obs.year","eco.name","region","mngm.type","hydrology","site.cwm.pres.oek.f","site.type","rest.meth","rest.meth.type","land.use.hist","rest.age","pH.site"
"M_ALT","2022","Central European mixed forests","centre","mowing","moist",4.9825,"negative",NA,"negative",NA,NA,7.115
"M_ASE","2023","Central European mixed forests","centre","both","fresh",4.22,"restored","res","res","arable land",2,7.29
"M_BAD","2022","Central European mixed forests","centre","grazing","dry",3.1575,"restored","mga","mga","grassland",5,7.365
"M_BAL","2023","Central European mixed forests","centre","none","fresh",4.2825,"negative",NA,"negative",NA,NA,6.95
"M_BEE","2023","Central European mixed forests","centre","mowing","fresh",4.1825,"restored","cus","cus","arable land",25,6.915
"M_BEN","2022","Central European mixed forests","centre","mowing","fresh",4.415,"restored","res","res","arable land",2,6.085
"M_BIR","2023","Central European mixed forests","centre","mowing","fresh",4.73,"positive",NA,"positive",NA,NA,4.645
"M_BOD","2023","Central European mixed forests","centre","both","fresh",4.3525,"negative",NA,"negative",NA,NA,7.145
"M_BRA","2023","Central European mixed forests","centre","both","dry",3.9675,"restored","res","res","arable land",10,6.43
"M_BUH","2022","Central European mixed forests","centre","both","fresh",4.56,"restored","res","res","arable land",3,6.89
"M_CAL","2022","Central European mixed forests","centre","mowing","fresh",4.3775,"restored","res","res","arable land",6,7.22
"M_CBE","2022","Central European mixed forests","centre","mowing","fresh",4.7,"negative",NA,"negative",NA,NA,7.15
"M_DOB","2022","Central European mixed forests","centre","mowing","dry",3.91,"restored","res","res","arable land",6,7.41
"M_DOR","2022","Central European mixed forests","centre","mowing","fresh",4.3125,"restored","cus","cus","arable land",27,7.14
"M_EIC","2023","Central European mixed forests","centre","both","fresh",5.09,"negative",NA,"negative",NA,NA,4.815
"M_FAL","2023","Central European mixed forests","centre","mowing","fresh",4.4975,"restored","res","res","arable land",6,6.18
"M_FRB","2023","Central European mixed forests","centre","grazing","dry",3.7075,"restored","mga","mga","grassland",14,7.26
"M_GRO","2022","Central European mixed forests","centre","both","fresh",4.5925,"restored","cus","cus","arable land",26,7.215
"M_HAH","2023","Central European mixed forests","centre","none","dry",2.9,"positive",NA,"positive",NA,NA,7.18
"M_HAI","2022","Western European broadleaf forests","centre","grazing","fresh",4.41,"restored","mga","mga","grassland",11,7.47
"M_HAR","2023","Central European mixed forests","centre","mowing","fresh",4.1825,"restored","res","res","arable land",12,7.425
"M_HIR","2022","Central European mixed forests","centre","grazing","dry",3.7975,"restored","mga","mga","grassland",9,7.37
"M_HLI","2022","Western European broadleaf forests","centre","both","fresh",4.5375,"positive",NA,"positive",NA,NA,5.985
"M_HNB","2023","Central European mixed forests","centre","grazing","dry",3.9375,"restored","mga","mga","grassland",2,7.05
"M_HOH","2022","Central European mixed forests","centre","mowing","moist",5.67,"restored","cus","cus","arable land",26,7.32
"M_ILB","2023","Central European mixed forests","centre","mowing","fresh",4.7875,"restored","res","res","arable land",12,7.4
"M_JEP","2023","Central European mixed forests","centre","mowing","fresh",4.3325,"positive",NA,"positive",NA,NA,5.525
"M_JER","2023","Central European mixed forests","centre","mowing","fresh",4.325,"restored","dih","dih","arable land",5,6.005
"M_KAL","2022","Western European broadleaf forests","centre","grazing","fresh",3.87,"positive",NA,"positive",NA,NA,7.49
"M_KAP","2023","Central European mixed forests","centre","mowing","fresh",5.2825,"negative",NA,"negative",NA,NA,5.645
"M_KIF","2022","Central European mixed forests","centre","mowing","dry",3.615,"negative",NA,"negative",NA,NA,7.27
"M_KOL","2023","Central European mixed forests","centre","mowing","dry",3.865,"restored","res","res","arable land",3,7.3
"M_KOT","2022","Central European mixed forests","centre","mowing","fresh",4.615,"restored","res","res","arable land",4,7.4
"M_KUH","2022","Central European mixed forests","centre","grazing","dry",3.46,"restored","mga","mga","grassland",4,7.375
"M_LOB","2023","Central European mixed forests","centre","mowing","fresh",4.0725,"restored","cus","cus","arable land",25,7.155
"M_MOZ","2023","Western European broadleaf forests","centre","mowing","moist",5.8175,"positive",NA,"positive",NA,NA,5.15
"M_NEL","2022","Central European mixed forests","centre","grazing","dry",2.72,"restored","mga","mga","grassland",14,7.52
"M_NIS","2022","Central European mixed forests","centre","none","dry",4.025,"negative",NA,"negative",NA,NA,7.45
"M_PRA","2023","Central European mixed forests","centre","both","moist",4.9425,"restored","dih","dih","arable land",22,5.54
"M_SKF","2022","Central European mixed forests","centre","both","fresh",4.3625,"restored","res","res","arable land",9,7.375
"M_SMH","2023","Central European mixed forests","centre","none","dry",3.78,"negative",NA,"negative",NA,NA,6.88
"M_SSB","2022","Central European mixed forests","centre","grazing","dry",2.75,"positive",NA,"positive",NA,NA,7.49
"M_SSL","2023","Central European mixed forests","centre","none","dry",3.4775,"positive",NA,"positive",NA,NA,5.54
"M_STA","2023","Central European mixed forests","centre","mowing","fresh",4.7,"restored","res","res","grassland",5,5.12
"M_STF","2023","Central European mixed forests","centre","mowing","moist",5.0875,"restored","dih","dih","arable land",3,6.17
"M_STI","2023","Central European mixed forests","centre","mowing","moist",4.6575,"restored","cus","cus","arable land",28,7.205
"M_STN","2023","Central European mixed forests","centre","grazing","dry",3.3125,"restored","mga","mga","grassland",2,7.24
"M_STP","2023","Central European mixed forests","centre","mowing","fresh",4.6725,"positive",NA,"positive",NA,NA,5.005
"M_SUL","2022","Central European mixed forests","centre","both","fresh",4.8825,"negative",NA,"negative",NA,NA,7.405
"M_TAN","2022","Central European mixed forests","centre","grazing","dry",3.1075,"restored","mga","mga","grassland",11,6.99
"M_TRE","2023","Central European mixed forests","centre","mowing","fresh",4.4225,"restored","res","res","grassland",8,7.33
"M_TRN","2023","Central European mixed forests","centre","mowing","moist",5.01,"negative",NA,"negative",NA,NA,7.37
"M_TTH","2023","Central European mixed forests","centre","grazing","dry",3.0475,"restored","mga","mga","grassland",11,7.355
"M_TTO","2022","Central European mixed forests","centre","grazing","dry",3.595,"positive",NA,"positive",NA,NA,7.58
"M_TTP","2022","Central European mixed forests","centre","grazing","dry",3.345,"restored","mga","mga","grassland",13,7.425
"M_VOC","2023","Central European mixed forests","centre","mowing","fresh",4.5425,"restored","dih","dih","arable land",8,6.08
"M_WDG","2022","Central European mixed forests","centre","mowing","fresh",4.0925,"restored","res","res","arable land",6,6.855
"M_WED","2023","Central European mixed forests","centre","mowing","moist",5.035,"restored","res","res","arable land",7,7.215
"M_WEF","2022","Central European mixed forests","centre","mowing","moist",6.9775,"restored","mga","mga","grassland",13,7.38
"M_WIM","2022","Western European broadleaf forests","centre","both","fresh",4.205,"restored","res","res","arable land",6,6.98
"M_WLE","2022","Central European mixed forests","centre","mowing","moist",6.05,"negative",NA,"negative",NA,NA,7.49
"M_WUG","2022","Central European mixed forests","centre","grazing","fresh",6.335,"restored","mga","mga","arable land",20,7.56
"M_WUM","2022","Central European mixed forests","centre","grazing","fresh",6.0225,"restored","mga","mga","grassland",10,7.415
"M_WUN","2022","Central European mixed forests","centre","mowing","fresh",5.9925,"negative",NA,"negative",NA,NA,7.635
"M_WUP","2022","Central European mixed forests","centre","grazing","fresh",5.9975,"positive",NA,"positive",NA,NA,6.98
